"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 08, 2014","9,224.26","9,256.92","9,256.92","9,201.68","-","-0.94%"
"Jul 07, 2014","9,312.25","9,189.05","9,312.25","9,171.58","-","1.16%"
"Jul 04, 2014","9,205.12","9,183.58","9,209.11","9,172.53","-","-0.14%"
"Jul 03, 2014","9,218.28","9,188.34","9,224.61","9,183.51","-","0.05%"
"Jul 02, 2014","9,213.55","9,232.29","9,232.29","9,194.98","-","-0.50%"
"Jul 01, 2014","9,259.46","9,195.41","9,264.44","9,195.41","-","0.36%"
"Jun 30, 2014","9,226.63","9,217.61","9,258.98","9,209.59","-","-0.23%"
"Jun 27, 2014","9,247.45","9,233.40","9,267.06","9,230.94","-","-0.03%"
"Jun 26, 2014","9,250.28","9,213.10","9,250.28","9,205.50","-","0.11%"
"Jun 25, 2014","9,239.74","9,188.78","9,251.98","9,184.92","-","0.39%"
"Jun 24, 2014","9,203.73","9,203.16","9,209.42","9,196.53","-","-0.14%"
"Jun 23, 2014","9,217.09","9,238.75","9,251.95","9,212.57","-","-0.59%"
"Jun 20, 2014","9,271.94","9,301.01","9,303.82","9,233.44","-","-0.39%"
"Jun 19, 2014","9,308.34","9,320.81","9,329.68","9,308.34","-","-0.16%"
"Jun 18, 2014","9,323.27","9,320.58","9,352.78","9,309.55","-","0.04%"
"Jun 17, 2014","9,319.49","9,312.67","9,338.27","9,307.94","-","-0.13%"
"Jun 16, 2014","9,331.72","9,363.60","9,364.23","9,328.15","-","-0.71%"
"Jun 13, 2014","9,398.85","9,392.54","9,413.18","9,382.36","-","-0.17%"
"Jun 12, 2014","9,415.06","9,346.51","9,415.06","9,334.28","-","0.70%"
"Jun 11, 2014","9,349.43","9,332.30","9,365.49","9,332.29","-","0.22%"
"Jun 10, 2014","9,328.51","9,346.60","9,350.57","9,311.37","-","-0.23%"
"Jun 09, 2014","9,350.43","9,328.17","9,357.72","9,324.35","-","0.13%"
"Jun 06, 2014","9,338.38","9,358.38","9,367.52","9,316.38","-","-0.25%"
"Jun 05, 2014","9,361.38","9,404.30","9,418.83","9,357.00","-","-0.67%"
"Jun 04, 2014","9,424.51","9,423.70","9,437.82","9,372.35","-","-0.14%"
"Jun 03, 2014","9,437.60","9,467.41","9,474.47","9,424.82","-","-0.34%"
"Jun 02, 2014","9,469.49","9,495.53","9,511.60","9,469.49","-","-0.27%"
"May 30, 2014","9,494.79","9,459.61","9,494.79","9,439.30","-","0.37%"
"May 29, 2014","9,459.57","9,402.78","9,461.45","9,396.08","-","0.52%"
"May 28, 2014","9,410.74","9,366.61","9,419.86","9,352.38","-","0.30%"
"May 27, 2014","9,382.71","9,361.11","9,382.71","9,341.74","-","0.05%"
"May 26, 2014","9,378.28","9,366.49","9,437.39","9,330.82","-","-1.13%"
"May 23, 2014","9,485.55","9,437.44","9,485.55","9,433.19","-","0.56%"
"May 22, 2014","9,433.16","9,459.82","9,459.82","9,431.51","-","-0.31%"
"May 21, 2014","9,462.50","9,454.76","9,464.34","9,446.01","-","0.07%"
"May 20, 2014","9,456.34","9,452.51","9,469.75","9,440.89","-","-0.07%"
"May 19, 2014","9,462.62","9,452.05","9,463.03","9,419.17","-","0.14%"
