"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21, 2015","9,344.11","9,505.74","9,506.48","9,326.69","140.99M","-1.70%"
"Jun 18, 2015","9,505.74","9,543.25","9,562.69","9,496.28","110.54M","-0.39%"
"Jun 17, 2015","9,543.25","9,544.51","9,559.64","9,487.96","143.63M","-0.01%"
"Jun 16, 2015","9,544.51","9,561.70","9,570.97","9,522.00","133.80M","-0.18%"
"Jun 15, 2015","9,561.70","9,644.57","9,693.07","9,558.00","179.26M","-0.86%"
"Jun 14, 2015","9,644.57","9,518.38","9,647.49","9,518.38","147.22M","1.33%"
"Jun 11, 2015","9,518.38","9,541.58","9,562.09","9,500.62","122.40M","-0.24%"
"Jun 10, 2015","9,541.58","9,490.88","9,563.43","9,490.88","129.19M","0.53%"
"Jun 09, 2015","9,490.88","9,532.48","9,532.48","9,425.94","152.33M","-0.44%"
"Jun 08, 2015","9,532.48","9,588.01","9,588.55","9,530.25","117.67M","-0.58%"
"Jun 07, 2015","9,588.01","9,668.10","9,671.08","9,568.16","138.84M","-0.83%"
"Jun 04, 2015","9,668.10","9,678.75","9,684.44","9,629.15","142.40M","-0.11%"
"Jun 03, 2015","9,678.75","9,716.71","9,724.92","9,666.35","158.24M","-0.39%"
"Jun 02, 2015","9,716.71","9,693.58","9,727.48","9,676.18","153.08M","0.24%"
"Jun 01, 2015","9,693.58","9,688.69","9,703.34","9,620.81","162.12M","0.05%"
"May 31, 2015","9,688.69","9,757.07","9,777.72","9,685.07","178.66M","-0.70%"
"May 28, 2015","9,757.07","9,753.32","9,784.97","9,721.42","164.59M","0.04%"
"May 27, 2015","9,753.32","9,801.40","9,816.18","9,750.73","216.32M","-0.49%"
"May 26, 2015","9,801.40","9,726.96","9,801.40","9,726.68","246.84M","0.77%"
"May 25, 2015","9,726.96","9,732.52","9,766.09","9,714.59","232.27M","-0.06%"
"May 24, 2015","9,732.52","9,768.09","9,768.09","9,662.89","229.18M","-0.36%"
"May 21, 2015","9,768.09","9,731.30","9,768.64","9,695.00","193.67M","0.38%"
"May 20, 2015","9,731.30","9,811.12","9,811.12","9,716.45","212.52M","-0.81%"
"May 19, 2015","9,811.12","9,807.88","9,820.79","9,782.72","208.90M","0.03%"
"May 18, 2015","9,807.88","9,814.65","9,829.76","9,784.22","219.19M","-0.07%"
