"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2014","9,508.57","9,543.11","9,566.78","9,476.32","54.57M","-0.36%"
"Apr 09, 2014","9,543.11","9,565.28","9,613.12","9,490.15","485.61M","-0.23%"
"Apr 08, 2014","9,565.28","9,507.58","9,566.67","9,497.73","360.43M","0.61%"
"Apr 07, 2014","9,507.58","9,531.40","9,532.20","9,444.76","300.70M","-0.25%"
"Apr 06, 2014","9,531.40","9,558.46","9,576.70","9,524.28","282.85M","-0.28%"
"Apr 03, 2014","9,558.46","9,537.83","9,572.86","9,537.83","270.75M","0.22%"
"Apr 02, 2014","9,537.83","9,516.17","9,547.09","9,505.08","269.35M","0.23%"
"Apr 01, 2014","9,516.17","9,473.71","9,516.23","9,465.51","244.38M","0.45%"
"Mar 31, 2014","9,473.71","9,462.98","9,474.34","9,419.87","249.82M","0.11%"
"Mar 30, 2014","9,462.98","9,423.08","9,462.98","9,423.08","250.58M","0.42%"
"Mar 27, 2014","9,423.08","9,449.92","9,453.47","9,396.63","272.96M","-0.28%"
"Mar 26, 2014","9,449.92","9,433.63","9,450.08","9,421.88","257.23M","0.17%"
"Mar 25, 2014","9,433.63","9,429.21","9,437.91","9,402.26","240.55M","0.05%"
"Mar 24, 2014","9,429.21","9,425.21","9,461.20","9,405.06","280.70M","0.04%"
"Mar 23, 2014","9,425.21","9,305.64","9,428.12","9,301.05","300.05M","1.28%"
"Mar 20, 2014","9,305.64","9,318.63","9,319.77","9,259.37","270.30M","-0.14%"
"Mar 19, 2014","9,318.63","9,331.69","9,346.38","9,284.95","256.40M","-0.14%"
"Mar 18, 2014","9,331.69","9,368.03","9,401.95","9,315.07","333.52M","-0.39%"
"Mar 17, 2014","9,368.03","9,378.87","9,390.64","9,356.16","258.21M","-0.12%"
"Mar 16, 2014","9,378.87","9,386.08","9,395.08","9,341.09","282.56M","-0.08%"
"Mar 13, 2014","9,386.08","9,351.11","9,406.83","9,342.09","250.03M","0.37%"
"Mar 12, 2014","9,351.11","9,354.55","9,354.55","9,293.49","296.40M","-0.04%"
"Mar 11, 2014","9,354.55","9,343.78","9,376.21","9,313.40","304.70M","0.12%"
"Mar 10, 2014","9,343.78","9,350.60","9,362.48","9,297.45","442.78M","-0.07%"
"Mar 09, 2014","9,350.60","9,248.82","9,355.13","9,248.71","454.20M","1.10%"
"Mar 06, 2014","9,248.82","9,161.33","9,251.88","9,161.33","303.96M","0.95%"
"Mar 05, 2014","9,161.33","9,148.73","9,207.24","9,098.22","424.69M","0.14%"
