"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 08, 2015","9,723.73","9,732.12","9,737.17","9,678.28","-","-0.13%"
"Jun 05, 2015","9,736.55","9,728.88","9,737.31","9,700.34","-","0.03%"
"Jun 04, 2015","9,733.46","9,698.45","9,733.46","9,689.42","-","0.33%"
"Jun 03, 2015","9,701.77","9,663.63","9,701.77","9,655.26","-","0.28%"
"Jun 02, 2015","9,674.37","9,666.35","9,695.76","9,647.82","-","-0.14%"
"Jun 01, 2015","9,687.63","9,708.62","9,709.31","9,678.30","-","-0.24%"
"May 29, 2015","9,711.36","9,562.65","9,711.36","9,533.61","-","1.07%"
"May 28, 2015","9,608.63","9,582.26","9,608.70","9,580.65","-","0.21%"
"May 27, 2015","9,588.13","9,587.33","9,605.62","9,569.81","-","-0.44%"
"May 26, 2015","9,630.44","9,661.38","9,705.58","9,630.44","-","-0.44%"
"May 25, 2015","9,673.07","9,664.77","9,702.03","9,658.75","-","0.06%"
"May 22, 2015","9,667.42","9,682.98","9,736.13","9,657.41","-","-1.23%"
"May 21, 2015","9,787.85","9,836.12","9,837.40","9,781.51","-","-0.89%"
"May 20, 2015","9,875.94","9,902.56","9,904.67","9,872.81","-","-0.45%"
"May 19, 2015","9,920.90","9,862.70","9,920.90","9,844.09","-","0.43%"
"May 18, 2015","9,878.59","9,852.80","9,878.59","9,838.37","-","0.27%"
"May 15, 2015","9,851.73","9,829.91","9,851.73","9,816.47","-","0.06%"
"May 14, 2015","9,845.67","9,846.25","9,846.25","9,826.69","-","-0.01%"
"May 13, 2015","9,846.23","9,886.19","9,910.49","9,831.83","-","-0.43%"
"May 12, 2015","9,888.33","9,872.76","9,904.05","9,858.88","-","0.03%"
"May 11, 2015","9,885.16","9,874.47","9,890.17","9,840.08","-","0.05%"
"May 08, 2015","9,880.33","9,858.80","9,890.26","9,850.80","-","0.22%"
"May 07, 2015","9,858.78","9,910.20","9,916.67","9,858.78","-","-0.51%"
"May 06, 2015","9,908.90","9,960.22","9,976.48","9,872.10","-","-0.37%"
"May 05, 2015","9,945.31","10,000.43","10,002.57","9,917.41","-","-0.13%"
"May 04, 2015","9,958.00","9,925.82","9,958.00","9,908.03","-","0.21%"
"Apr 30, 2015","9,937.38","9,954.30","9,968.65","9,937.38","-","-0.35%"
"Apr 29, 2015","9,972.59","9,911.38","9,972.59","9,900.72","-","0.53%"
"Apr 28, 2015","9,920.50","9,910.91","9,930.84","9,888.28","-","-0.21%"
"Apr 27, 2015","9,941.58","9,863.97","9,941.58","9,863.97","-","0.66%"
"Apr 24, 2015","9,876.57","9,905.34","9,915.85","9,869.46","-","-0.39%"
"Apr 23, 2015","9,914.86","9,899.01","9,954.63","9,891.97","-","0.10%"
"Apr 22, 2015","9,905.41","9,896.39","9,929.57","9,874.51","-","0.05%"
"Apr 21, 2015","9,900.12","9,908.55","9,945.46","9,893.61","-","-0.16%"
"Apr 20, 2015","9,915.53","9,897.55","9,936.63","9,862.87","-","0.17%"
"Apr 17, 2015","9,898.90","9,905.44","9,957.59","9,854.58","-","-0.14%"
"Apr 16, 2015","9,912.31","9,928.82","9,948.99","9,885.19","-","-0.25%"
"Apr 15, 2015","9,937.03","9,948.87","9,989.80","9,927.27","-","0.22%"
"Apr 14, 2015","9,914.81","9,923.45","9,939.12","9,898.81","-","0.05%"
"Apr 13, 2015","9,909.79","9,884.64","9,909.79","9,857.25","-","0.21%"
"Apr 10, 2015","9,889.12","9,951.00","9,972.17","9,878.05","-","-0.93%"
"Apr 09, 2015","9,981.66","9,912.28","9,981.66","9,910.40","-","0.39%"
"Apr 08, 2015","9,943.12","9,977.59","10,015.45","9,943.12","-","-0.41%"
"Apr 07, 2015","9,983.80","10,050.00","10,056.16","9,983.80","-","-0.67%"
"Apr 06, 2015","10,050.79","9,961.41","10,053.06","9,931.67","-","0.92%"
"Apr 03, 2015","9,958.69","10,080.72","10,082.60","9,947.68","-","-1.12%"
"Apr 02, 2015","10,071.52","10,190.13","10,192.38","10,071.52","-","-1.09%"
"Apr 01, 2015","10,182.06","10,255.84","10,268.08","10,182.06","-","-0.85%"
"Mar 31, 2015","10,269.75","10,323.27","10,330.26","10,269.75","-","-0.51%"
"Mar 30, 2015","10,322.09","10,273.03","10,322.09","10,256.80","-","0.29%"
"Mar 27, 2015","10,292.43","10,303.32","10,342.84","10,276.58","-","-0.03%"
"Mar 26, 2015","10,295.30","10,372.08","10,392.17","10,295.28","-","-0.95%"
"Mar 25, 2015","10,393.74","10,399.62","10,406.88","10,360.09","-","-0.16%"
"Mar 24, 2015","10,410.30","10,402.71","10,416.41","10,360.30","-","0.01%"
"Mar 23, 2015","10,408.85","10,409.73","10,434.98","10,378.77","-","-0.02%"
"Mar 20, 2015","10,411.35","10,303.75","10,411.72","10,303.07","-","1.00%"
"Mar 19, 2015","10,308.04","10,314.37","10,315.63","10,256.73","-","-0.31%"
"Mar 18, 2015","10,340.28","10,426.87","10,426.87","10,287.72","-","-0.83%"
"Mar 17, 2015","10,426.40","10,415.93","10,436.67","10,380.03","-","0.02%"
"Mar 16, 2015","10,424.09","10,474.70","10,474.70","10,424.09","-","-0.50%"
"Mar 13, 2015","10,476.89","10,470.33","10,476.89","10,430.94","-","-0.04%"
"Mar 12, 2015","10,480.59","10,488.42","10,492.51","10,442.26","-","-0.09%"
"Mar 11, 2015","10,489.51","10,491.55","10,518.82","10,485.01","-","-0.23%"
"Mar 10, 2015","10,513.78","10,500.85","10,529.66","10,487.70","-","-0.13%"
"Mar 09, 2015","10,527.27","10,469.50","10,547.66","10,467.93","-","0.68%"
"Mar 06, 2015","10,456.47","10,482.34","10,528.28","10,456.47","-","-0.24%"
"Mar 05, 2015","10,481.35","10,475.72","10,481.35","10,436.86","-","0.05%"
"Mar 04, 2015","10,476.02","10,443.76","10,476.02","10,425.14","-","0.19%"
"Mar 03, 2015","10,456.55","10,474.43","10,474.43","10,393.37","-","-0.12%"
