"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 08, 2015","5,647.31","5,650.83","5,662.54","5,641.44","-","-0.06%"
"Jun 05, 2015","5,650.69","5,653.16","5,659.53","5,637.46","-","-0.07%"
"Jun 04, 2015","5,654.59","5,661.05","5,665.97","5,639.00","-","-0.09%"
"Jun 03, 2015","5,659.55","5,648.75","5,659.55","5,612.27","-","0.16%"
"Jun 02, 2015","5,650.46","5,633.99","5,650.46","5,626.81","-","0.31%"
"Jun 01, 2015","5,633.23","5,663.84","5,664.57","5,624.36","-","-0.23%"
"May 29, 2015","5,646.40","5,665.38","5,677.36","5,643.69","-","-0.33%"
"May 28, 2015","5,665.37","5,660.25","5,671.80","5,654.49","-","0.04%"
"May 27, 2015","5,663.34","5,652.20","5,664.68","5,630.46","-","0.21%"
"May 26, 2015","5,651.52","5,649.23","5,671.23","5,646.01","-","0.06%"
"May 25, 2015","5,648.30","5,650.90","5,671.41","5,622.41","-","-0.02%"
"May 22, 2015","5,649.40","5,632.53","5,673.68","5,620.17","-","0.27%"
"May 21, 2015","5,633.93","5,635.13","5,640.70","5,608.32","-","0.00%"
"May 20, 2015","5,633.72","5,644.60","5,645.21","5,620.74","-","-0.24%"
"May 19, 2015","5,647.31","5,670.99","5,671.43","5,627.34","-","-0.38%"
"May 18, 2015","5,668.68","5,686.76","5,688.91","5,661.35","-","-0.49%"
"May 15, 2015","5,696.48","5,702.68","5,719.32","5,695.07","-","-0.05%"
"May 14, 2015","5,699.34","5,666.95","5,702.85","5,666.95","-","0.56%"
"May 13, 2015","5,667.51","5,644.53","5,672.75","5,644.53","-","0.66%"
"May 12, 2015","5,630.26","5,584.74","5,630.28","5,571.51","-","0.88%"
"May 11, 2015","5,580.91","5,587.34","5,587.51","5,560.38","-","-0.08%"
"May 08, 2015","5,585.19","5,565.25","5,585.19","5,544.29","-","0.45%"
"May 07, 2015","5,560.04","5,585.24","5,614.31","5,560.04","-","-0.43%"
"May 06, 2015","5,583.78","5,580.99","5,587.06","5,571.45","-","0.24%"
"May 05, 2015","5,570.63","5,545.20","5,572.05","5,545.20","-","0.45%"
"May 04, 2015","5,545.87","5,544.77","5,549.74","5,528.78","-","0.02%"
