"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 13, 2015","4,757.74","4,730.54","4,768.29","4,729.84","87.30M","0.57%"
"Jul 12, 2015","4,730.54","4,710.20","4,753.31","4,710.20","234.56M","0.48%"
"Jul 09, 2015","4,707.94","4,692.29","4,721.26","4,692.29","125.50M","0.33%"
"Jul 08, 2015","4,692.29","4,723.35","4,726.12","4,692.29","88.96M","-0.68%"
"Jul 07, 2015","4,724.54","4,749.47","4,768.53","4,724.28","86.63M","-0.57%"
"Jul 06, 2015","4,751.72","4,741.32","4,760.95","4,730.82","255.82M","0.30%"
"Jul 05, 2015","4,737.58","4,725.60","4,747.26","4,724.86","259.64M","0.23%"
"Jul 02, 2015","4,726.72","4,697.11","4,726.72","4,687.45","111.83M","0.63%"
"Jul 01, 2015","4,697.11","4,720.91","4,725.42","4,691.84","73.54M","-0.55%"
"Jun 30, 2015","4,723.23","4,677.93","4,725.38","4,669.13","52.77M","0.92%"
"Jun 29, 2015","4,679.96","4,713.58","4,713.58","4,664.41","52.13M","-0.83%"
"Jun 28, 2015","4,719.25","4,757.36","4,763.06","4,708.18","68.85M","-0.87%"
"Jun 25, 2015","4,760.76","4,821.52","4,839.44","4,757.50","64.13M","-1.26%"
"Jun 24, 2015","4,821.52","4,759.00","4,896.89","4,759.00","73.94M","1.39%"
"Jun 23, 2015","4,755.60","4,620.71","4,762.64","4,620.71","105.16M","2.92%"
"Jun 22, 2015","4,620.71","4,591.25","4,626.25","4,590.76","135.57M","0.67%"
"Jun 21, 2015","4,590.12","4,572.02","4,597.08","4,570.20","30.79M","0.40%"
"Jun 18, 2015","4,572.02","4,581.99","4,590.26","4,560.60","35.14M","-0.18%"
"Jun 17, 2015","4,580.12","4,544.81","4,580.12","4,544.81","31.57M","0.77%"
"Jun 16, 2015","4,545.11","4,548.54","4,574.30","4,544.43","31.26M","-0.09%"
"Jun 15, 2015","4,549.03","4,542.33","4,559.72","4,542.33","63.70M","0.15%"
"Jun 14, 2015","4,542.33","4,553.02","4,573.82","4,541.65","59.28M","-0.28%"
"Jun 11, 2015","4,555.29","4,592.35","4,604.07","4,550.49","120.32M","-0.77%"
"Jun 10, 2015","4,590.47","4,586.04","4,609.21","4,581.37","338.36M","0.15%"
"Jun 09, 2015","4,583.70","4,560.50","4,587.60","4,552.28","93.96M","0.43%"
"Jun 08, 2015","4,563.90","4,552.73","4,576.28","4,544.63","111.79M","0.22%"
"Jun 07, 2015","4,553.97","4,587.23","4,590.56","4,548.81","59.35M","-0.73%"
"Jun 04, 2015","4,587.23","4,586.97","4,592.75","4,572.56","130.95M","-0.04%"
"Jun 03, 2015","4,589.24","4,592.05","4,594.40","4,575.60","225.31M","-0.01%"
"Jun 02, 2015","4,589.78","4,563.97","4,592.06","4,562.59","78.08M","0.62%"
"Jun 01, 2015","4,561.36","4,530.44","4,589.08","4,521.56","35.32M","0.74%"
"May 31, 2015","4,527.63","4,520.78","4,549.24","4,511.63","57.89M","0.25%"
"May 28, 2015","4,516.56","4,578.13","4,602.76","4,515.51","125.23M","-1.28%"
"May 27, 2015","4,575.32","4,615.38","4,615.38","4,575.11","54.53M","-0.86%"
