"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 03, 2013","4,582.46","4,607.69","4,609.42","4,572.76","-","-0.49%"
"Sep 02, 2013","4,604.96","4,599.93","4,610.68","4,594.58","-","0.05%"
"Aug 30, 2013","4,602.49","4,596.69","4,606.40","4,589.80","-","0.13%"
"Aug 29, 2013","4,596.59","4,609.63","4,611.38","4,592.85","-","-0.18%"
"Aug 28, 2013","4,604.65","4,613.42","4,618.22","4,601.90","-","-0.15%"
"Aug 27, 2013","4,611.55","4,603.49","4,612.15","4,601.34","-","0.14%"
"Aug 26, 2013","4,605.26","4,623.98","4,627.22","4,603.13","-","-0.20%"
"Aug 23, 2013","4,614.71","4,616.73","4,618.65","4,596.16","-","-0.00%"
"Aug 22, 2013","4,614.78","4,595.45","4,617.54","4,594.56","-","0.40%"
"Aug 21, 2013","4,596.48","4,577.12","4,596.48","4,577.12","-","0.45%"
"Aug 20, 2013","4,575.92","4,572.39","4,582.80","4,566.37","-","0.02%"
"Aug 19, 2013","4,574.85","4,567.48","4,583.18","4,563.54","-","0.17%"
"Aug 16, 2013","4,567.06","4,570.00","4,585.82","4,557.10","-","-0.09%"
"Aug 15, 2013","4,571.09","4,571.34","4,584.05","4,567.50","-","0.09%"
"Aug 14, 2013","4,566.87","4,571.34","4,575.63","4,559.07","-","-0.10%"
"Aug 12, 2013","4,571.42","4,574.49","4,581.17","4,566.79","-","-0.01%"
"Aug 07, 2013","4,572.03","4,571.71","4,580.23","4,565.88","-","0.02%"
"Aug 06, 2013","4,571.09","4,583.38","4,583.92","4,568.58","-","-0.25%"
"Aug 05, 2013","4,582.45","4,579.99","4,584.17","4,572.39","-","0.06%"
"Aug 02, 2013","4,579.86","4,567.18","4,582.81","4,560.17","-","0.50%"
"Aug 01, 2013","4,557.13","4,519.35","4,557.13","4,515.89","-","0.84%"
"Jul 31, 2013","4,518.97","4,478.31","4,518.97","4,478.31","-","0.88%"
"Jul 30, 2013","4,479.38","4,523.47","4,523.47","4,463.42","-","-1.19%"
"Jul 29, 2013","4,533.34","4,562.62","4,562.62","4,489.70","-","-0.73%"
"Jul 26, 2013","4,566.71","4,629.78","4,629.78","4,545.40","-","-1.66%"
"Jul 24, 2013","4,643.61","4,632.87","4,649.45","4,630.64","-","0.23%"
"Jul 23, 2013","4,632.79","4,610.54","4,632.79","4,608.79","-","0.51%"
"Jul 22, 2013","4,609.38","4,615.29","4,625.33","4,604.21","-","-0.12%"
"Jul 19, 2013","4,614.74","4,624.64","4,629.73","4,606.45","-","-0.26%"
"Jul 18, 2013","4,626.87","4,628.25","4,628.25","4,616.05","-","-0.02%"
"Jul 17, 2013","4,627.79","4,617.72","4,627.79","4,605.70","-","0.30%"
"Jul 16, 2013","4,614.10","4,616.31","4,625.38","4,605.97","-","0.02%"
"Jul 15, 2013","4,613.18","4,604.26","4,620.15","4,600.46","-","0.18%"
"Jul 12, 2013","4,604.85","4,609.06","4,617.03","4,604.18","-","-0.09%"
"Jul 11, 2013","4,609.05","4,605.82","4,617.08","4,597.15","-","0.03%"
"Jul 10, 2013","4,607.54","4,612.62","4,620.34","4,606.11","-","-0.11%"
"Jul 09, 2013","4,612.45","4,619.72","4,635.09","4,599.97","-","-0.25%"
"Jul 08, 2013","4,624.16","4,615.76","4,624.96","4,609.76","-","0.16%"
"Jul 05, 2013","4,616.70","4,619.82","4,632.20","4,616.70","-","-0.13%"
"Jul 04, 2013","4,622.86","4,614.44","4,626.22","4,611.55","-","0.18%"
"Jul 03, 2013","4,614.44","4,611.76","4,619.84","4,602.23","-","0.04%"
"Jul 02, 2013","4,612.75","4,605.45","4,623.97","4,594.87","-","-0.04%"
"Jul 01, 2013","4,614.37","4,614.05","4,615.75","4,595.06","-","0.13%"
"Jun 28, 2013","4,608.39","4,590.45","4,608.39","4,559.21","-","0.49%"
"Jun 27, 2013","4,586.02","4,578.74","4,601.81","4,576.84","-","0.16%"
"Jun 26, 2013","4,578.52","4,572.61","4,590.65","4,567.29","-","-0.17%"
"Jun 25, 2013","4,586.31","4,606.37","4,606.37","4,573.19","-","-0.36%"
"Jun 24, 2013","4,602.75","4,618.32","4,620.69","4,597.67","-","-0.26%"
"Jun 21, 2013","4,614.78","4,606.76","4,624.39","4,604.81","-","0.23%"
"Jun 20, 2013","4,604.39","4,594.11","4,607.36","4,589.51","-","0.15%"
