"Date","Price","Open","High","Low","Vol.","Change %"
"May 14, 2006","3,559.48","3,485.70","3,648.84","3,485.70","-","1.92%"
"May 13, 2006","3,492.40","3,285.11","3,493.06","3,284.77","-","6.55%"
"May 11, 2006","3,277.61","3,410.18","3,410.60","3,272.81","-","-3.67%"
"May 10, 2006","3,402.42","3,514.88","3,514.88","3,402.22","-","-3.26%"
"May 09, 2006","3,516.94","3,455.98","3,560.62","3,455.98","-","1.87%"
"May 08, 2006","3,452.34","3,358.48","3,453.37","3,357.79","-","2.79%"
"May 07, 2006","3,358.52","3,560.10","3,560.10","3,349.92","-","-5.69%"
"May 06, 2006","3,561.13","3,660.56","3,675.72","3,561.13","-","-2.75%"
"May 04, 2006","3,661.91","3,682.83","3,682.93","3,656.99","-","-0.59%"
"May 03, 2006","3,683.51","3,753.38","3,753.38","3,682.03","-","-1.88%"
"May 02, 2006","3,753.90","3,757.21","3,787.00","3,750.70","-","-0.10%"
"May 01, 2006","3,757.62","3,741.12","3,768.62","3,741.12","-","0.43%"
"Apr 30, 2006","3,741.40","3,752.09","3,779.99","3,733.12","-","-0.30%"
"Apr 29, 2006","3,752.61","3,809.26","3,809.26","3,745.20","-","-1.53%"
"Apr 27, 2006","3,811.01","3,884.83","3,884.83","3,811.01","-","-1.93%"
"Apr 26, 2006","3,885.96","3,896.73","3,911.42","3,882.90","-","-0.25%"
"Apr 25, 2006","3,895.70","3,855.46","3,895.90","3,837.69","-","1.22%"
"Apr 24, 2006","3,848.74","3,842.49","3,867.38","3,822.67","-","0.20%"
"Apr 23, 2006","3,841.01","3,935.41","3,935.41","3,837.98","-","-2.41%"
"Apr 22, 2006","3,935.93","4,007.94","4,015.14","3,932.76","-","-1.80%"
"Apr 20, 2006","4,008.04","3,990.19","4,032.85","3,976.47","-","0.41%"
"Apr 19, 2006","3,991.50","4,131.80","4,133.65","3,991.46","-","-3.36%"
"Apr 18, 2006","4,130.42","4,143.76","4,144.43","4,105.10","-","-0.31%"
"Apr 17, 2006","4,143.08","4,183.88","4,224.00","4,129.29","-","-0.99%"
"Apr 16, 2006","4,184.50","4,299.31","4,299.31","4,183.80","-","-2.69%"
"Apr 15, 2006","4,300.07","4,348.79","4,384.90","4,300.06","-","-1.09%"
"Apr 13, 2006","4,347.55","4,333.23","4,347.55","4,275.90","-","0.31%"
"Apr 12, 2006","4,334.16","4,451.33","4,452.16","4,328.46","-","-2.68%"
"Apr 11, 2006","4,453.60","4,534.79","4,535.06","4,451.85","-","-1.79%"
"Apr 09, 2006","4,534.79","4,534.25","4,574.18","4,519.59","-","0.05%"
"Apr 08, 2006","4,532.39","4,592.46","4,592.46","4,523.71","-","-1.29%"
"Apr 06, 2006","4,591.74","4,640.25","4,644.21","4,591.60","-","-1.06%"
"Apr 05, 2006","4,640.97","4,648.18","4,670.99","4,640.77","-","-0.17%"
"Apr 04, 2006","4,648.80","4,623.67","4,683.70","4,622.36","-","0.54%"
"Apr 03, 2006","4,623.98","4,549.56","4,623.98","4,517.56","-","1.63%"
"Apr 02, 2006","4,549.97","4,538.07","4,549.97","4,517.29","-","0.27%"
"Apr 01, 2006","4,537.73","4,479.15","4,538.75","4,479.15","-","1.30%"
"Mar 30, 2006","4,479.46","4,490.50","4,499.30","4,474.47","-","-0.22%"
"Mar 29, 2006","4,489.15","4,426.68","4,504.34","4,426.68","-","1.41%"
"Mar 28, 2006","4,426.58","4,449.51","4,460.89","4,422.86","-","-0.52%"
